Ship,Berth,MooringTime,HandlingTime
10,0,17,19
21,0,39,9
36,0,73,14
44,0,89,14
58,0,111,18
74,0,130,17
92,0,158,3
98,0,165,6
13,1,22,9
20,1,36,7
24,1,44,10
31,1,65,12
51,1,98,10
63,1,117,38
3,2,3,18
17,2,29,12
23,2,44,38
47,2,94,17
67,2,123,21
91,2,157,21
2,3,3,60
64,3,117,50
72,3,167,66
97,3,233,58
26,4,47,28
62,4,117,51
55,5,100,19
15,6,25,33
29,6,61,40
60,6,116,35
6,7,8,17
39,7,78,5
61,7,116,20
86,7,146,14
88,8,151,20
5,9,6,8
18,9,31,19
30,9,64,11
45,9,92,6
54,9,99,6
65,9,121,10
80,9,137,9
90,9,157,5
96,9,164,29
14,10,24,25
34,10,68,22
59,10,116,11
89,10,157,13
42,11,84,28
27,12,49,9
37,12,76,22
56,12,103,22
73,12,130,25
1,13,2,6
41,13,83,8
52,13,98,5
57,13,108,3
16,14,27,42
35,14,69,45
78,14,135,6
85,14,143,14
94,14,161,12
9,15,16,26
33,15,67,21
50,15,94,16
84,15,141,15
49,16,94,50
7,17,12,183
4,18,5,9
11,18,17,36
28,18,53,18
46,18,92,22
69,18,125,5
82,18,138,4
95,18,163,38
0,19,1,9
8,19,14,52
40,19,81,16
48,19,97,13
68,19,124,2
76,19,133,3
79,19,137,13
87,19,150,36
66,20,122,35
25,21,45,33
77,21,135,26
70,22,126,38
19,23,32,8
22,23,43,5
32,23,67,11
38,23,78,21
53,23,99,21
71,23,126,12
93,23,158,33
12,24,20,38
43,24,88,18
83,24,139,25
99,24,166,39
