Ship,Berth,MooringTime,HandlingTime
19,0,27,28
42,0,74,26
79,1,167,42
14,2,24,19
21,2,43,32
70,2,148,45
9,3,19,9
15,3,28,31
36,3,63,4
44,3,79,11
50,3,96,17
56,3,115,29
67,3,144,14
76,3,160,7
20,4,27,37
47,4,85,28
16,5,25,8
39,5,72,5
55,5,107,15
7,6,17,26
30,6,48,23
45,6,82,7
65,6,130,39
72,7,151,7
2,8,7,9
8,8,18,12
23,8,30,18
33,8,55,28
73,8,154,11
12,9,23,9
37,9,71,18
60,9,120,9
69,10,147,35
25,11,31,40
57,11,116,90
6,12,16,3
3,13,9,23
28,13,40,9
49,13,88,10
74,13,158,11
1,14,5,5
11,14,23,32
35,14,61,4
41,14,73,9
54,14,105,5
61,14,126,11
68,14,143,18
75,14,161,31
22,15,28,51
46,15,84,58
13,16,24,25
38,16,72,17
53,16,104,14
77,16,164,25
0,17,3,19
24,17,30,21
43,17,78,10
63,17,129,15
71,17,150,30
4,18,11,5
17,18,26,7
26,18,34,10
31,18,50,17
40,18,73,15
48,18,88,8
51,18,96,13
59,18,118,1
62,18,127,9
66,18,136,38
78,18,174,22
5,19,13,8
10,19,21,5
18,19,26,8
27,19,36,5
29,19,42,6
32,19,52,5
34,19,60,8
52,19,100,3
64,19,129,4
