Ship,Berth,MooringTime,HandlingTime
4,0,11,5
12,0,23,9
42,0,74,26
63,0,129,15
79,1,167,42
14,2,24,19
31,2,50,17
46,2,84,58
67,2,142,14
15,3,24,31
43,3,78,10
50,3,96,17
71,3,150,30
20,4,27,37
2,5,7,9
13,5,24,25
38,5,72,17
54,5,105,5
76,5,160,7
0,6,3,19
11,6,23,32
36,6,63,4
44,6,79,11
65,6,130,39
69,7,147,35
8,8,18,12
19,8,30,28
40,8,73,15
49,8,88,10
72,8,151,7
74,8,158,11
17,9,26,7
26,9,34,10
35,9,61,4
55,9,107,15
73,9,154,11
47,10,85,28
25,11,31,40
57,11,116,90
5,12,13,8
3,13,9,23
28,13,40,9
37,13,71,18
60,13,120,9
22,14,28,51
68,14,143,18
78,14,167,22
21,15,28,32
70,15,148,45
23,16,30,18
39,16,72,5
53,16,104,14
62,16,127,9
77,16,164,25
7,17,17,26
30,17,48,23
45,17,82,7
56,17,115,29
75,17,159,31
1,18,5,5
9,18,19,9
16,18,28,8
24,18,36,21
33,18,57,28
41,18,85,9
48,18,94,8
51,18,102,13
59,18,118,1
61,18,126,11
66,18,137,38
6,19,16,3
10,19,20,5
18,19,26,8
27,19,36,5
29,19,42,6
32,19,52,5
34,19,60,8
52,19,100,3
64,19,129,4
