Ship,Berth,MooringTime,HandlingTime
15,0,24,31
40,0,73,15
73,0,154,11
79,1,167,42
3,2,9,23
46,2,84,58
0,3,3,19
11,3,23,32
68,3,143,18
75,3,161,31
20,4,27,37
2,5,7,9
12,5,23,9
16,5,32,8
31,5,50,17
38,5,72,17
74,5,158,11
28,6,40,9
36,6,63,4
48,6,86,8
50,6,96,17
56,6,115,29
71,6,150,30
78,6,180,22
69,7,147,35
19,8,27,28
33,8,55,28
55,8,107,15
14,9,24,19
37,9,71,18
63,9,129,15
24,10,30,21
47,10,85,28
25,11,31,40
57,11,116,90
5,12,13,8
27,12,36,5
8,13,18,12
13,13,30,25
42,13,74,26
60,13,120,9
72,13,151,7
22,14,28,51
65,14,130,39
21,15,28,32
70,15,148,45
23,16,30,18
41,16,73,9
49,16,88,10
54,16,105,5
59,16,118,1
77,16,164,25
7,17,17,26
30,17,52,23
44,17,79,11
66,17,136,38
1,18,5,5
4,18,11,5
9,18,19,9
17,18,28,7
26,18,35,10
35,18,61,4
39,18,72,5
43,18,78,10
45,18,88,7
51,18,96,13
53,18,109,14
61,18,126,11
62,18,137,9
67,18,146,14
76,18,160,7
6,19,16,3
10,19,20,5
18,19,26,8
29,19,42,6
32,19,52,5
34,19,60,8
52,19,100,3
64,19,129,4
