Ship,Berth,MooringTime,HandlingTime
24,0,30,21
38,0,72,17
49,0,89,10
72,0,151,7
79,1,167,42
14,2,24,19
46,2,84,58
68,2,143,18
15,3,24,31
43,3,78,10
63,3,129,15
76,3,160,7
78,3,167,22
20,4,27,37
42,4,74,26
8,5,18,12
23,5,30,18
35,5,61,4
37,5,71,18
55,5,107,15
67,5,142,14
0,6,3,19
11,6,23,32
36,6,63,4
44,6,79,11
50,6,96,17
75,6,159,31
69,7,147,35
19,8,27,28
40,8,73,15
53,8,104,14
73,9,154,11
17,10,26,7
47,10,85,28
25,11,31,40
57,11,116,90
6,12,16,3
3,13,9,23
28,13,40,9
31,13,50,17
60,13,120,9
77,13,164,25
9,14,19,9
22,14,28,51
39,14,79,5
54,14,105,5
65,14,130,39
21,15,28,32
70,15,148,45
2,16,7,9
12,16,23,9
26,16,34,10
41,16,73,9
62,16,127,9
74,16,158,11
7,17,17,26
30,17,48,23
45,17,82,7
56,17,115,29
71,17,150,30
1,18,5,5
4,18,11,5
16,18,25,8
13,18,33,25
33,18,58,28
48,18,86,8
51,18,96,13
59,18,118,1
61,18,126,11
66,18,137,38
5,19,13,8
10,19,21,5
18,19,26,8
27,19,36,5
29,19,42,6
32,19,52,5
34,19,60,8
52,19,100,3
64,19,129,4
