Ship,Berth,MooringTime,HandlingTime
7,0,31,43
37,0,106,25
29,1,95,43
18,2,64,47
53,2,153,35
24,3,81,20
34,3,102,40
11,4,40,22
35,4,103,4
44,4,117,44
5,5,24,8
22,5,72,12
32,5,100,35
4,6,14,12
10,6,40,15
54,6,155,37
3,7,11,12
21,7,68,30
49,7,128,10
12,8,41,19
51,8,140,44
23,9,72,49
1,10,7,8
6,10,26,31
36,10,103,8
48,10,125,8
0,11,2,6
16,11,64,2
19,11,68,8
30,11,97,8
41,11,113,4
50,11,138,12
55,11,158,42
15,12,63,6
39,12,111,12
47,12,124,19
59,12,165,16
2,13,10,15
13,13,49,10
20,13,68,16
43,13,116,6
46,13,124,10
56,13,158,5
14,14,53,34
38,14,110,6
58,14,163,7
27,15,88,51
42,15,139,36
8,16,33,12
25,16,85,12
33,16,102,20
31,17,97,21
45,17,119,14
9,18,36,17
17,18,64,5
26,18,87,13
40,18,111,13
52,18,142,35
28,19,94,32
57,19,163,8
