Ship,Berth,MooringTime,HandlingTime
13,0,22,9
21,0,39,9
36,0,73,14
45,0,92,6
56,0,103,22
92,0,158,3
96,0,164,29
16,1,27,42
40,1,81,16
99,1,166,39
3,2,3,18
17,2,29,12
38,2,78,21
58,2,111,18
80,2,137,9
87,2,149,36
2,3,3,60
64,3,117,50
72,3,167,66
97,3,233,58
18,4,31,19
31,4,65,12
53,4,99,21
74,4,130,17
93,4,158,33
66,5,122,35
15,6,25,33
35,6,68,45
84,6,141,15
6,7,8,17
22,7,43,5
27,7,49,9
39,7,78,5
55,7,100,19
94,7,161,12
62,8,117,51
88,8,168,20
5,9,6,8
19,9,32,8
24,9,44,10
30,9,64,11
44,9,89,14
65,9,121,10
76,9,133,2
78,9,135,6
90,9,157,5
98,9,165,6
11,10,17,36
42,10,84,28
33,11,67,21
63,11,117,38
20,12,36,7
37,12,76,22
51,12,98,10
61,12,116,20
86,12,146,14
52,13,98,5
57,13,108,3
0,14,1,9
12,14,20,38
34,14,68,22
48,14,94,13
67,14,123,21
26,15,47,28
50,15,94,16
73,15,130,25
49,16,94,50
7,17,12,183
8,18,14,52
47,18,94,17
68,18,124,2
71,18,126,12
82,18,138,4
91,18,157,21
1,19,2,3
4,19,5,9
10,19,17,19
28,19,51,18
41,19,83,4
46,19,92,22
69,19,125,5
79,19,137,13
89,19,157,13
9,20,16,26
60,20,116,35
25,21,45,33
77,21,135,26
29,22,61,40
70,22,126,38
14,23,24,25
32,23,67,11
54,23,99,6
83,23,139,25
95,23,164,38
23,24,44,38
43,24,88,18
59,24,116,11
85,24,143,14
