Ship,Berth,MooringTime,HandlingTime
17,0,29,12
24,0,44,10
44,0,89,14
56,0,103,22
78,0,135,6
93,0,158,33
11,1,17,36
36,1,73,14
45,1,92,6
51,1,98,10
74,1,130,17
12,2,20,38
35,2,68,45
59,2,116,11
80,2,137,9
95,2,163,38
2,3,3,60
64,3,117,50
72,3,167,66
97,3,233,58
32,4,67,11
43,4,88,18
62,4,117,51
66,5,122,35
29,6,61,40
60,6,116,35
30,7,64,11
39,7,78,5
50,7,94,16
61,7,116,20
86,7,146,14
70,8,126,38
3,9,3,18
20,9,36,7
26,9,47,28
46,9,92,22
68,9,124,2
85,9,143,14
90,9,157,5
98,9,165,6
42,10,84,28
69,10,125,5
79,10,137,13
94,10,161,12
18,11,31,19
71,11,126,12
83,11,139,25
6,12,8,17
27,12,49,9
31,12,65,12
53,12,99,21
73,12,130,25
52,13,98,5
57,13,108,3
14,14,24,25
28,14,51,18
38,14,78,21
55,14,100,19
67,14,123,21
89,14,157,13
9,15,16,26
37,15,76,22
88,15,151,20
49,16,94,50
7,17,12,183
0,18,1,9
10,18,17,19
23,18,44,38
41,18,83,4
47,18,94,17
58,18,111,18
82,18,138,4
87,18,149,36
1,19,2,3
4,19,5,9
8,19,14,52
33,19,67,21
63,19,117,38
91,19,157,21
21,20,39,9
77,20,135,26
25,21,45,33
15,22,25,33
84,22,141,15
5,23,6,8
13,23,22,9
19,23,32,8
22,23,43,5
40,23,81,16
54,23,99,6
65,23,121,10
76,23,133,2
92,23,158,3
96,23,164,29
16,24,27,42
34,24,69,22
48,24,94,13
99,24,166,39
