Ship,Berth,MooringTime,HandlingTime
13,0,22,9
36,0,73,14
45,0,92,6
83,0,139,25
96,0,164,29
21,1,39,9
40,1,81,16
54,1,99,6
65,1,121,10
99,1,166,39
23,2,44,38
47,2,94,17
58,2,111,18
80,2,137,9
87,2,149,36
2,3,3,60
64,3,117,50
72,3,167,66
97,3,233,58
18,4,31,19
31,4,65,12
53,4,99,21
93,4,158,33
25,5,45,33
66,5,122,35
24,6,44,10
35,6,68,45
86,6,146,14
6,7,8,17
22,7,43,5
39,7,78,5
61,7,116,20
84,7,141,15
94,7,161,12
49,8,94,50
88,8,151,20
5,9,6,8
19,9,32,8
30,9,64,11
44,9,89,14
59,9,116,11
76,9,133,2
79,9,137,13
90,9,157,5
98,9,165,6
11,10,17,36
42,10,84,28
33,11,67,21
43,11,88,18
63,11,117,38
20,12,36,7
26,12,47,28
37,12,76,22
51,12,98,10
85,12,143,14
52,13,98,5
57,13,108,3
3,14,3,18
12,14,21,38
34,14,68,22
48,14,94,13
9,15,16,26
27,15,49,9
50,15,94,16
73,15,130,25
8,16,14,52
62,16,117,51
7,17,12,183
0,18,1,9
17,18,29,12
38,18,78,21
55,18,100,19
68,18,124,2
71,18,126,12
82,18,138,4
91,18,157,21
1,19,2,3
4,19,5,9
10,19,17,19
28,19,51,18
41,19,83,4
46,19,92,22
69,19,125,5
78,19,135,6
89,19,157,13
15,20,25,33
60,20,116,35
16,21,27,42
77,21,135,26
29,22,61,40
70,22,126,38
14,23,24,25
32,23,67,11
56,23,103,22
74,23,130,17
92,23,158,3
67,24,123,21
95,24,163,38
