Ship,Length,Draft,Arrival Time,Cargo Quantity,Crane Requested,Requested Departure Time,Time Penalty,Energy Penalty,Cost Penalty,Load Penalty,Waiting FCR,Handling FCR
0,92,1,2,64,1,10.0,31.0,8798.56,11775.0,107751.2,294.4,88.32
1,122,3,7,186,2,19.0,40.0,18222.34,31400.0,107751.2,607.6,182.28
2,172,5,10,350,2,33.0,58.0,63999.4,58875.0,107751.2,1610.0,483.0
3,141,6,11,398,3,31.0,57.0,49323.98,66725.0,107751.2,1300.13,390.04
4,141,2,14,134,1,35.0,47.0,9778.09,23550.0,107751.2,196.53,58.96
5,131,4,24,189,2,40.0,44.0,15205.62,31400.0,107751.2,415.8,124.74
6,181,7,26,1086,3,73.0,113.0,209668.7,180550.0,107751.2,2896.0,868.8
7,203,11,31,2018,4,123.0,197.0,571948.4,333625.0,107751.2,4439.6,1331.88
8,168,5,33,564,4,66.0,77.0,122830.66,94200.0,107751.2,2368.8,710.64
9,106,5,36,193,1,61.0,54.0,34474.21,35325.0,107751.2,823.47,247.04
10,168,8,40,351,2,59.0,54.0,47522.8,58875.0,107751.2,1310.4,393.12
11,190,7,40,503,2,69.0,70.0,52429.45,82425.0,107751.2,1073.07,321.92
12,198,10,41,431,2,66.0,63.0,95427.09,70650.0,107751.2,2269.93,680.98
13,109,4,49,108,1,59.0,35.0,14135.4,19625.0,107751.2,504.0,151.2
14,141,6,53,399,1,95.0,79.0,65962.66,66725.0,107751.2,1090.6,327.18
15,104,3,63,185,3,72.0,37.0,13162.37,31400.0,107751.2,456.33,136.9
16,78,2,64,47,2,70.0,28.0,5230.42,7850.0,107751.2,122.2,36.66
17,140,3,64,101,2,78.0,39.0,8622.02,19625.0,107751.2,208.73,62.62
18,184,8,64,1108,2,120.0,123.0,235416.48,184475.0,107751.2,2880.8,864.24
19,96,2,68,84,1,79.0,35.0,4758.74,15700.0,107751.2,67.2,20.16
20,175,7,68,367,2,91.0,59.0,59147.3,62800.0,107751.2,1468.0,440.4
21,219,11,68,1060,3,116.0,113.0,348180.54,176625.0,107751.2,4805.33,1441.6
22,135,6,72,413,3,91.0,57.0,69075.02,70650.0,107751.2,1899.8,569.94
23,184,5,72,1155,2,124.0,121.0,223247.7,192325.0,107751.2,2849.0,854.7
24,170,8,81,461,2,105.0,64.0,65253.68,78500.0,107751.2,1536.67,461.0
25,126,5,85,395,3,103.0,55.0,46399.34,66725.0,107751.2,1290.33,387.1
26,140,6,87,302,2,108.0,54.0,19017.67,51025.0,107751.2,442.93,132.88
27,292,13,88,2413,4,160.0,193.0,1144534.98,396425.0,107751.2,10134.6,3040.38
28,203,10,94,1878,5,179.0,184.0,273206.72,310075.0,107751.2,2253.6,676.08
29,225,8,95,1520,3,164.0,153.0,791340.37,251200.0,107751.2,8005.33,2401.6
30,91,2,97,93,1,109.0,36.0,11897.3,15700.0,107751.2,372.0,111.6
31,211,10,97,1216,5,156.0,130.0,264483.13,200175.0,107751.2,3080.53,924.16
32,179,5,100,1228,3,160.0,132.0,299153.94,204100.0,107751.2,3438.4,1031.52
33,167,6,102,930,4,144.0,101.0,55746.6,153075.0,107751.2,806.0,241.8
34,148,7,102,474,1,146.0,84.0,96690.9,78500.0,107751.2,1548.4,464.52
35,97,3,103,44,1,115.0,34.0,5787.34,7850.0,107751.2,114.4,34.32
36,183,6,103,363,4,128.0,61.0,66262.3,62800.0,107751.2,1573.0,471.9
37,152,7,106,1184,4,160.0,124.0,254191.02,196250.0,107751.2,3157.33,947.2
38,142,6,110,139,2,123.0,39.0,10685.85,23550.0,107751.2,296.53,88.96
39,173,7,111,423,3,133.0,60.0,77549.5,70650.0,107751.2,1974.0,592.2
40,108,5,111,304,2,132.0,54.0,41046.55,51025.0,107751.2,1074.13,322.24
41,97,1,113,77,2,122.0,33.0,7414.57,15700.0,107751.2,205.33,61.6
42,243,13,116,2089,5,181.0,173.0,726200.54,345400.0,107751.2,7102.6,2130.78
43,112,5,116,137,2,125.0,35.0,6941.33,23550.0,107751.2,173.53,52.06
44,152,4,117,1042,2,170.0,117.0,83967.3,172700.0,107751.2,1042.0,312.6
45,124,2,119,327,2,136.0,51.0,14474.46,54950.0,107751.2,348.8,104.64
46,119,4,124,117,1,141.0,42.0,6633.9,19625.0,107751.2,117.0,35.1
47,158,6,124,873,4,165.0,98.0,134451.32,145225.0,107751.2,2095.2,628.56
48,148,4,125,169,2,137.0,40.0,19066.58,31400.0,107751.2,642.2,192.66
49,122,1,128,223,2,146.0,48.0,25583.5,39250.0,107751.2,713.6,214.08
50,102,5,138,281,2,157.0,51.0,49329.9,47100.0,107751.2,1405.0,421.5
51,199,7,140,1042,2,186.0,110.0,369906.18,172700.0,107751.2,5279.47,1583.84
52,106,5,142,407,1,178.0,73.0,60536.6,66725.0,107751.2,1112.47,333.74
53,151,3,153,817,2,195.0,97.0,208524.4,137375.0,107751.2,3268.0,980.4
54,135,4,155,435,1,197.0,81.0,105825.7,74575.0,107751.2,1769.0,530.7
55,103,3,158,499,1,201.0,84.0,134018.48,82425.0,107751.2,2195.6,658.68
56,91,4,158,57,1,165.0,30.0,4662.82,11775.0,107751.2,79.8,23.94
57,91,1,163,93,1,179.0,40.0,12036.18,15700.0,107751.2,322.4,96.72
58,140,6,163,218,3,176.0,43.0,15175.69,39250.0,107751.2,450.53,135.16
59,170,8,165,728,4,205.0,91.0,101997.14,121675.0,107751.2,1650.13,495.04
