Berth,Length,Draft,Cranes Operating,Cost,Hourly CO2
0,210,14,4,2350.0,31.52
1,345,14,3,3325.0,32.5
2,220,14,2,2133.33,31.59
3,175,14,3,1908.33,31.27
4,205,14,2,2008.33,31.49
5,180,14,5,2250.0,31.3
6,195,14,2,1925.0,31.41
7,220,14,3,2283.33,31.59
8,205,14,2,2008.33,31.49
9,225,14,2,2175.0,31.63
10,185,14,4,2141.67,31.34
11,105,9,3,1325.0,30.76
12,175,14,4,2058.33,31.27
13,180,14,2,1800.0,31.3
14,215,14,3,2241.67,31.56
15,325,14,7,3758.33,32.36
16,215,14,4,2391.67,31.56
17,215,14,5,2541.67,31.56
18,140,9,2,1466.67,31.01
19,205,14,5,2458.33,31.49
