Ship,Berth,MooringTime,HandlingTime
3,0,11,12
22,0,72,12
25,0,85,12
39,0,111,12
56,0,158,5
27,1,88,68
24,2,81,20
48,2,125,8
51,2,140,44
13,3,49,10
17,3,64,5
44,3,117,44
58,3,163,7
12,4,41,19
23,4,72,49
4,5,14,12
10,5,40,15
33,5,102,20
11,6,40,22
18,6,64,47
43,6,116,6
6,7,26,31
21,7,68,30
2,8,10,15
20,8,68,16
38,8,110,6
53,8,153,35
29,9,95,64
8,10,33,12
34,10,102,40
0,11,2,6
15,11,63,6
19,11,69,8
30,11,97,8
41,11,113,4
50,11,138,12
55,11,158,42
37,12,106,25
52,12,142,35
1,13,7,8
14,13,53,34
35,13,103,4
45,13,119,14
57,13,163,8
9,14,36,17
32,14,100,35
42,15,116,36
7,16,31,43
36,16,103,8
31,17,97,21
47,17,124,19
59,17,165,16
5,18,24,8
16,18,64,2
26,18,87,13
40,18,111,13
46,18,124,10
54,18,155,37
28,19,94,32
49,19,128,10
