Ship,Berth,MooringTime,HandlingTime
32,0,100,35
29,1,95,43
18,2,64,47
3,3,11,12
22,3,72,12
25,3,85,12
44,3,117,44
23,4,72,49
51,4,140,44
33,5,102,20
48,5,125,8
2,6,10,15
11,6,40,22
34,6,102,40
21,7,68,30
39,7,111,12
12,8,41,19
45,8,119,14
54,8,155,37
14,9,53,34
53,9,153,35
8,10,33,12
36,10,103,8
47,10,124,19
59,10,165,16
0,11,2,6
15,11,63,6
19,11,69,8
30,11,97,8
35,11,105,4
41,11,113,4
50,11,138,12
55,11,158,42
10,12,40,15
24,12,81,20
37,12,106,25
4,13,14,12
13,13,49,10
16,13,64,2
20,13,68,16
38,13,110,6
43,13,116,6
49,13,128,10
56,13,158,5
57,13,163,8
6,14,26,31
27,15,88,51
42,15,139,36
7,16,31,43
58,16,163,7
31,17,97,21
1,18,7,8
5,18,24,8
9,18,36,17
17,18,64,5
26,18,87,13
40,18,111,13
46,18,124,10
52,18,142,35
28,19,94,32
