Ship,Berth,MooringTime,HandlingTime
7,0,31,43
29,1,95,43
52,2,142,35
3,3,11,12
22,3,72,12
25,3,85,12
38,3,110,6
39,3,116,12
58,3,163,7
24,4,81,20
34,4,102,40
44,5,117,44
4,6,14,12
18,6,64,47
49,6,128,10
12,7,41,19
21,7,68,30
1,8,7,8
14,8,53,34
43,8,116,6
51,8,140,44
2,9,10,15
11,9,40,22
6,10,26,31
32,10,100,35
0,11,2,6
15,11,63,6
16,11,69,2
19,11,71,8
30,11,97,8
35,11,105,4
41,11,113,4
50,11,138,12
56,11,158,5
55,11,163,42
26,12,87,13
33,12,102,20
47,12,124,19
59,12,165,16
57,12,181,8
10,13,40,15
20,13,68,16
48,13,125,8
53,13,153,35
23,14,72,49
27,15,88,51
42,15,139,36
8,16,33,12
36,16,103,8
31,17,97,21
37,17,118,25
5,18,24,8
9,18,36,17
13,18,53,10
17,18,64,5
40,18,111,13
45,18,124,14
46,18,138,10
54,18,155,37
28,19,94,32
