Ship,Berth,MooringTime,HandlingTime
7,0,31,43
37,0,106,25
27,1,88,68
24,2,81,20
44,2,117,44
3,3,11,12
25,3,85,12
39,3,111,12
52,3,142,35
2,4,10,15
51,4,140,44
8,5,33,12
48,5,125,8
54,5,155,37
14,6,53,34
34,6,102,40
11,7,40,22
21,7,68,30
18,8,64,47
40,8,111,13
29,9,95,64
6,10,26,31
36,10,103,8
47,10,124,19
0,11,2,6
16,11,64,2
19,11,68,8
30,11,97,8
50,11,138,12
55,11,158,42
9,12,36,17
22,12,72,12
33,12,102,20
59,12,165,16
4,13,14,12
10,13,40,15
20,13,68,16
35,13,103,4
38,13,110,6
43,13,116,6
46,13,124,10
12,14,41,19
32,14,100,35
42,15,116,36
23,16,72,49
15,17,63,6
31,17,97,21
49,17,128,10
58,17,163,7
1,18,7,8
5,18,24,8
13,18,49,10
17,18,64,5
26,18,87,13
41,18,113,4
45,18,119,14
56,18,158,5
57,18,163,8
28,19,94,32
53,19,153,35
