Ship,Berth,MooringTime,HandlingTime
13,0,22,9
21,0,39,9
30,0,64,11
40,0,81,16
53,0,99,21
68,0,124,2
71,0,126,12
80,0,138,9
90,0,157,5
98,0,165,6
14,1,24,25
36,1,73,14
51,1,98,10
58,1,111,18
82,1,138,4
96,1,164,29
0,2,1,9
11,2,17,36
42,2,84,28
67,2,123,21
2,3,3,60
64,3,117,50
72,3,167,66
97,3,233,58
18,4,31,19
31,4,65,12
48,4,94,13
62,4,117,51
70,5,126,38
29,6,61,40
74,6,130,17
27,7,49,9
39,7,78,5
73,7,130,25
93,7,158,33
66,8,122,35
5,9,6,8
19,9,32,8
24,9,44,10
34,9,68,22
45,9,92,6
54,9,99,6
65,9,121,10
76,9,133,2
78,9,135,6
85,9,143,14
89,9,157,13
12,10,20,38
43,10,88,18
83,10,139,25
10,11,17,19
35,11,68,45
6,12,8,17
26,12,47,28
37,12,76,22
79,12,137,13
88,12,151,20
57,13,108,3
23,14,44,38
41,14,83,4
46,14,92,22
69,14,125,5
95,14,163,38
9,15,16,26
50,15,94,16
61,15,116,20
86,15,146,14
49,16,94,50
7,17,12,183
1,18,2,3
4,18,5,9
17,18,29,12
28,18,51,18
38,18,78,21
52,18,99,3
63,18,117,38
91,18,157,21
8,19,14,52
33,19,67,21
47,19,94,17
59,19,116,11
87,19,149,36
60,20,116,35
15,21,25,33
77,21,135,26
25,22,45,33
84,22,141,15
3,23,3,18
20,23,36,7
22,23,43,5
32,23,67,11
44,23,89,14
56,23,103,22
92,23,158,3
94,23,161,12
16,24,27,42
55,24,100,19
99,24,166,39
