Ship,Berth,MooringTime,HandlingTime
5,0,6,8
20,0,36,7
22,0,43,5
32,0,67,11
38,0,78,21
54,0,99,6
65,0,121,10
93,0,158,33
16,1,27,42
44,1,89,14
58,1,111,18
74,1,130,17
92,1,158,3
4,2,5,9
17,2,29,12
35,2,68,45
69,2,125,5
79,2,137,13
91,2,157,21
2,3,3,60
64,3,117,50
72,3,167,66
97,3,233,58
31,4,65,12
47,4,94,17
62,4,117,51
15,5,25,33
29,6,61,40
67,6,123,21
86,6,146,14
6,7,8,17
27,7,49,9
50,7,94,16
73,7,130,25
49,8,94,50
24,9,44,10
36,9,73,14
45,9,92,6
56,9,103,22
83,9,139,25
96,9,164,29
18,10,31,19
33,10,67,21
48,10,94,13
68,10,124,2
94,10,161,12
11,11,17,36
63,11,117,38
21,12,39,9
37,12,76,22
51,12,98,10
61,12,116,20
88,12,151,20
57,13,108,3
14,14,24,25
42,14,84,28
78,14,135,6
85,14,143,14
95,14,163,38
12,15,20,38
30,15,64,11
39,15,78,5
84,15,141,15
9,16,16,26
60,16,116,35
7,17,12,183
0,18,1,9
8,18,14,52
34,18,68,22
46,18,92,22
59,18,116,11
89,18,157,13
1,19,2,3
10,19,17,19
28,19,51,18
40,19,81,16
52,19,98,3
55,19,101,19
71,19,126,12
82,19,138,4
87,19,149,36
66,20,122,35
25,21,45,33
77,21,135,26
70,22,126,38
13,23,22,9
19,23,32,8
26,23,47,28
41,23,83,4
53,23,99,21
76,23,133,2
80,23,137,9
90,23,157,5
98,23,165,6
3,24,3,18
23,24,44,38
43,24,88,18
99,24,166,39
