Ship,Berth,MooringTime,HandlingTime
19,0,32,8
28,0,51,18
36,0,73,14
44,0,89,14
59,0,116,11
90,0,157,5
98,0,165,6
12,1,20,38
33,1,67,21
53,1,99,21
67,1,123,21
92,1,158,3
18,2,31,19
35,2,68,45
63,2,117,38
94,2,161,12
2,3,3,60
64,3,117,50
72,3,167,66
97,3,233,58
13,4,22,9
56,4,103,22
74,4,130,17
93,4,158,33
45,5,92,6
66,5,122,35
15,6,25,33
31,6,65,12
43,6,88,18
26,7,47,28
42,7,84,28
61,7,116,20
88,7,151,20
29,8,61,40
60,8,116,35
5,9,6,8
20,9,36,7
24,9,44,10
30,9,64,11
54,9,99,6
65,9,121,10
76,9,133,2
79,9,137,13
96,9,164,29
8,10,14,52
83,10,139,25
10,11,17,19
40,11,81,16
58,11,111,18
78,11,135,6
6,12,8,17
21,12,39,9
27,12,49,9
39,12,78,5
50,12,94,16
73,12,130,25
57,13,108,3
3,14,3,18
14,14,24,25
38,14,78,21
55,14,100,19
82,14,138,4
87,14,149,36
9,15,16,26
37,15,76,22
51,15,98,10
84,15,141,15
49,16,94,50
86,16,146,14
7,17,12,183
1,18,2,3
17,18,29,12
23,18,44,38
41,18,83,4
52,18,98,3
68,18,124,2
71,18,126,12
95,18,163,38
0,19,1,9
16,19,27,42
34,19,69,22
48,19,94,13
69,19,125,5
80,19,137,9
91,19,157,21
22,20,43,5
62,20,117,51
25,21,45,33
77,21,135,26
70,22,126,38
4,23,5,9
11,23,17,36
32,23,67,11
46,23,92,22
89,23,157,13
47,24,94,17
85,24,143,14
99,24,166,39
