Ship,Berth,MooringTime,HandlingTime
19,0,32,8
24,0,44,10
30,0,64,11
54,0,99,6
59,0,116,11
76,0,133,2
79,0,137,13
93,0,158,33
26,1,47,28
56,1,103,22
74,1,130,17
99,1,166,39
3,2,3,18
12,2,21,38
35,2,68,45
67,2,123,21
94,2,161,12
2,3,3,60
64,3,117,50
72,3,167,66
97,3,233,58
11,4,17,36
48,4,94,13
62,4,117,51
70,5,126,38
29,6,61,40
61,6,116,20
17,7,29,12
39,7,78,5
42,7,84,28
88,7,151,20
60,8,116,35
20,9,36,7
22,9,43,5
36,9,73,14
55,9,100,19
65,9,121,10
85,9,143,14
90,9,157,5
96,9,164,29
16,10,27,42
43,10,88,18
23,11,44,38
83,11,139,25
9,12,16,26
27,12,49,9
31,12,65,12
44,12,89,14
86,12,146,14
52,13,98,5
57,13,108,3
14,14,24,25
33,14,67,21
47,14,94,17
58,14,111,18
82,14,138,4
91,14,157,21
6,15,8,17
37,15,76,22
51,15,98,10
84,15,141,15
15,16,25,33
66,16,122,35
7,17,12,183
1,18,2,3
4,18,5,9
10,18,17,19
28,18,51,18
34,18,69,22
46,18,92,22
68,18,124,2
78,18,135,6
95,18,163,38
0,19,1,9
8,19,14,52
38,19,78,21
69,19,125,5
80,19,137,9
87,19,149,36
50,20,94,16
77,20,135,26
25,21,45,33
73,21,130,25
49,22,94,50
5,23,6,8
13,23,22,9
21,23,39,9
32,23,67,11
41,23,83,4
45,23,92,6
53,23,99,21
71,23,126,12
92,23,158,3
98,23,165,6
18,24,31,19
40,24,81,16
63,24,117,38
89,24,157,13
