Ship,Berth,MooringTime,HandlingTime
22,0,28,51
77,0,164,25
79,1,167,42
7,2,17,26
46,2,84,58
0,3,3,19
30,3,48,23
48,3,86,8
75,3,159,31
8,4,18,12
23,4,30,18
69,4,147,35
14,5,24,19
33,5,55,28
49,5,88,10
55,5,107,15
73,5,154,11
11,6,23,32
44,6,79,11
65,6,130,39
3,7,9,23
47,7,85,28
19,8,27,28
41,8,73,9
60,8,120,9
72,8,151,7
78,8,167,22
13,9,24,25
66,9,136,38
20,10,27,37
42,10,74,26
25,11,31,40
57,11,116,90
6,12,16,3
10,12,20,5
34,12,60,8
9,13,19,9
24,13,30,21
38,13,72,17
51,13,96,13
61,13,126,11
68,13,143,18
1,14,5,5
4,14,11,5
17,14,26,7
28,14,40,9
31,14,50,17
39,14,72,5
45,14,82,7
53,14,104,14
67,14,142,14
21,15,28,32
54,15,105,5
70,15,148,45
2,16,7,9
12,16,23,9
37,16,71,18
63,16,129,15
74,16,158,11
15,17,24,31
36,17,63,4
43,17,78,10
56,17,115,29
76,17,160,7
16,18,25,8
26,18,34,10
35,18,61,4
40,18,73,15
50,18,96,17
59,18,118,1
62,18,127,9
71,18,150,30
5,19,13,8
18,19,26,8
27,19,36,5
29,19,42,6
32,19,52,5
52,19,100,3
64,19,129,4
