Ship,Berth,MooringTime,HandlingTime
28,0,40,9
42,0,74,26
79,1,167,42
17,2,26,7
21,2,33,32
46,2,84,58
76,2,160,7
9,3,19,9
7,3,28,26
36,3,63,4
43,3,78,10
56,3,115,29
75,3,159,31
49,4,88,10
69,4,147,35
2,5,7,9
12,5,23,9
48,5,86,8
53,5,104,14
73,5,154,11
78,5,167,22
15,6,24,31
44,6,79,11
50,6,96,17
66,6,136,38
16,7,25,8
45,7,82,7
8,8,18,12
23,8,30,18
35,8,61,4
55,8,107,15
77,8,164,25
24,9,30,21
38,9,72,17
68,9,143,18
20,10,27,37
47,10,85,28
25,11,31,40
57,11,116,90
5,12,13,8
18,12,26,8
14,13,24,19
37,13,71,18
60,13,120,9
72,13,151,7
4,14,11,5
22,14,28,51
40,14,79,15
59,14,118,1
61,14,126,11
74,14,158,11
0,15,3,19
19,15,27,28
70,15,148,45
1,16,5,5
3,16,10,23
33,16,55,28
39,16,83,5
54,16,105,5
67,16,142,14
11,17,23,32
30,17,55,23
63,17,129,15
71,17,150,30
13,18,24,25
26,18,49,10
31,18,59,17
41,18,76,9
51,18,96,13
62,18,127,9
65,18,136,39
6,19,16,3
10,19,20,5
27,19,36,5
29,19,42,6
32,19,52,5
34,19,60,8
52,19,100,3
64,19,129,4
