Ship,Berth,MooringTime,HandlingTime
2,0,7,9
22,0,28,51
72,0,151,7
47,1,85,28
69,1,147,35
3,2,9,23
21,2,32,32
70,2,148,45
7,3,17,26
30,3,48,23
66,3,136,38
16,4,25,8
46,4,84,58
8,5,18,12
28,5,40,9
42,5,74,26
53,5,104,14
67,5,142,14
0,6,3,19
24,6,30,21
36,6,63,4
44,6,79,11
56,6,115,29
17,7,26,7
79,7,167,42
19,8,27,28
37,8,71,18
54,8,105,5
73,8,154,11
78,8,167,22
14,9,24,19
31,9,50,17
40,9,73,15
49,9,88,10
20,10,27,37
55,10,107,15
25,11,31,40
57,11,116,90
5,12,13,8
27,12,36,5
64,12,129,4
12,13,23,9
26,13,34,10
43,13,78,10
60,13,120,9
68,13,143,18
77,13,164,25
9,14,19,9
33,14,55,28
65,14,130,39
13,15,24,25
41,15,73,9
48,15,86,8
61,15,126,11
74,15,158,11
23,16,30,18
38,16,72,17
62,16,127,9
75,16,159,31
11,17,23,32
50,17,96,17
71,17,150,30
1,18,5,5
4,18,11,5
15,18,24,31
35,18,61,4
39,18,72,5
45,18,82,7
51,18,96,13
59,18,118,1
63,18,129,15
76,18,160,7
6,19,16,3
10,19,20,5
18,19,26,8
29,19,42,6
32,19,52,5
34,19,60,8
52,19,100,3
