Ship,Berth,MooringTime,HandlingTime
22,0,28,51
63,0,129,15
3,1,9,23
47,1,85,28
17,2,26,7
30,2,48,23
46,2,84,58
11,3,23,32
44,3,79,11
67,3,142,14
75,3,159,31
15,4,24,31
69,4,147,35
2,5,7,9
19,5,27,28
37,5,71,18
60,5,120,9
73,5,154,11
0,6,3,19
28,6,40,9
43,6,78,10
56,6,115,29
76,6,160,7
78,6,167,22
79,7,167,42
8,8,18,12
23,8,30,18
38,8,72,17
62,8,127,9
72,8,151,7
14,9,24,19
42,9,74,26
71,9,150,30
20,10,27,37
25,11,31,40
57,11,116,90
6,12,16,3
10,12,20,5
32,12,52,5
64,12,129,4
12,13,23,9
33,13,55,28
55,13,107,15
77,13,164,25
1,14,5,5
4,14,11,5
16,14,25,8
26,14,34,10
36,14,63,4
40,14,73,15
54,14,105,5
59,14,118,1
61,14,126,11
74,14,158,11
21,15,28,32
70,15,148,45
13,16,24,25
35,16,61,4
39,16,72,5
49,16,88,10
53,16,104,14
68,16,143,18
7,17,17,26
48,17,86,8
50,17,96,17
66,17,136,38
9,18,19,9
24,18,30,21
31,18,51,17
41,18,73,9
45,18,82,7
51,18,96,13
65,18,130,39
5,19,13,8
18,19,26,8
27,19,36,5
29,19,42,6
34,19,60,8
52,19,100,3
