Ship,Berth,MooringTime,HandlingTime
18,0,31,19
45,0,92,6
56,0,103,22
74,0,130,17
93,0,158,33
8,1,14,52
32,1,67,11
48,1,94,13
79,1,137,13
1,2,2,3
4,2,5,9
11,2,17,36
34,2,68,22
55,2,100,19
68,2,124,2
71,2,126,12
89,2,157,13
2,3,3,60
64,3,117,50
72,3,167,66
97,3,233,58
26,4,47,28
44,4,89,14
62,4,117,51
49,5,94,50
9,6,16,26
31,6,65,12
51,6,98,10
88,6,151,20
19,7,32,8
27,7,49,9
39,7,78,5
50,7,94,16
73,7,130,25
70,8,126,38
3,9,3,18
21,9,39,9
30,9,64,11
38,9,78,21
54,9,99,6
65,9,121,10
76,9,133,2
85,9,143,14
94,9,161,12
12,10,20,38
35,10,68,45
83,11,139,25
99,11,166,39
6,12,8,17
43,12,88,18
61,12,116,20
84,12,141,15
90,12,157,5
52,13,98,5
57,13,108,3
14,14,24,25
28,14,51,18
40,14,81,16
58,14,111,18
82,14,138,4
95,14,163,38
24,15,44,10
37,15,76,22
96,15,164,29
29,16,61,40
66,16,122,35
7,17,12,183
10,18,17,19
23,18,44,38
42,18,84,28
59,18,116,11
80,18,137,9
87,18,149,36
0,19,1,9
16,19,27,42
41,19,83,4
46,19,92,22
69,19,125,5
78,19,135,6
91,19,157,21
60,20,116,35
15,21,25,33
77,21,135,26
25,22,45,33
86,22,146,14
5,23,6,8
13,23,22,9
20,23,36,7
22,23,43,5
36,23,73,14
53,23,99,21
67,23,123,21
92,23,158,3
98,23,165,6
17,24,29,12
33,24,67,21
47,24,94,17
63,24,117,38
