Ship,Berth,MooringTime,HandlingTime
18,0,31,19
32,0,67,11
44,0,89,14
74,0,130,17
93,0,158,33
24,1,44,10
30,1,64,11
45,1,92,6
56,1,103,22
85,1,143,14
96,1,164,29
1,2,2,3
4,2,5,9
11,2,17,36
33,2,67,21
55,2,100,19
68,2,124,2
71,2,126,12
82,2,138,4
94,2,161,12
2,3,3,60
64,3,117,50
72,3,167,66
97,3,233,58
5,4,6,8
21,4,39,9
42,4,84,28
99,4,166,39
62,5,117,51
37,6,76,22
60,6,116,35
6,7,8,17
17,7,29,12
39,7,78,5
48,7,94,13
78,7,135,6
84,7,141,15
70,8,126,38
13,9,22,9
20,9,36,7
26,9,47,28
54,9,99,6
58,9,111,18
90,9,157,5
95,9,163,38
12,10,20,38
35,10,68,45
34,11,68,22
83,11,139,25
27,12,49,9
31,12,65,12
50,12,94,16
61,12,116,20
88,12,151,20
52,13,98,5
57,13,108,3
3,14,3,18
14,14,24,25
28,14,51,18
40,14,81,16
63,14,117,38
89,14,157,13
9,15,16,26
36,15,73,14
73,15,130,25
15,16,25,33
29,16,61,40
86,16,146,14
7,17,12,183
10,18,17,19
23,18,44,38
47,18,94,17
69,18,125,5
80,18,137,9
87,18,149,36
0,19,1,9
16,19,27,42
41,19,83,4
46,19,92,22
67,19,123,21
91,19,157,21
51,20,98,10
66,20,122,35
25,21,45,33
77,21,135,26
49,22,94,50
19,23,32,8
22,23,43,5
38,23,78,21
53,23,99,21
65,23,121,10
76,23,133,2
79,23,137,13
92,23,158,3
98,23,165,6
8,24,14,52
43,24,88,18
59,24,116,11
