Ship,Berth,MooringTime,HandlingTime
18,0,31,19
36,0,73,14
56,0,103,22
74,0,130,17
93,0,158,33
26,1,47,28
43,1,88,18
65,1,121,10
83,1,139,25
3,2,3,18
12,2,21,38
34,2,68,22
55,2,100,19
79,2,137,13
94,2,161,12
2,3,3,60
64,3,117,50
72,3,167,66
97,3,233,58
20,4,36,7
22,4,43,5
31,4,65,12
51,4,98,10
62,4,117,51
49,5,94,50
15,6,25,33
60,6,116,35
21,7,39,9
27,7,49,9
44,7,89,14
61,7,116,20
84,7,141,15
92,7,158,3
70,8,126,38
13,9,22,9
19,9,32,8
24,9,44,10
30,9,64,11
45,9,92,6
54,9,99,6
58,9,111,18
90,9,157,5
95,9,163,38
11,10,17,36
35,10,68,45
16,11,27,42
47,11,94,17
9,12,16,26
32,12,67,11
39,12,78,5
48,12,94,13
76,12,133,2
86,12,146,14
98,12,165,6
57,13,108,3
4,14,5,9
14,14,24,25
28,14,51,18
40,14,81,16
52,14,98,3
69,14,125,5
78,14,135,6
85,14,143,14
91,14,157,21
6,15,8,17
37,15,76,22
73,15,130,25
29,16,61,40
88,16,151,20
7,17,12,183
1,18,2,3
8,18,14,52
42,18,84,28
59,18,116,11
80,18,137,9
87,18,149,36
0,19,1,9
17,19,29,12
23,19,44,38
41,19,83,4
46,19,92,22
68,19,124,2
71,19,126,12
82,19,138,4
89,19,157,13
25,20,45,33
50,21,94,16
77,21,135,26
66,22,122,35
5,23,6,8
38,23,78,21
53,23,99,21
67,23,123,21
96,23,164,29
10,24,17,19
33,24,67,21
63,24,117,38
99,24,166,39
