Ship,Berth,MooringTime,HandlingTime
7,0,31,43
33,0,102,20
42,1,116,59
12,2,41,19
16,2,64,2
34,2,102,40
4,3,14,12
25,3,85,12
53,3,153,35
10,4,40,15
51,4,140,44
8,5,33,12
44,5,117,44
17,6,64,5
23,6,72,49
49,6,128,10
21,7,68,30
32,7,100,35
11,8,40,22
18,8,64,47
29,9,95,64
2,10,10,15
20,10,68,16
36,10,103,8
39,10,111,12
57,10,163,8
15,11,63,6
19,11,69,8
30,11,97,8
41,11,113,4
50,11,138,12
55,11,158,42
24,12,81,20
40,12,111,13
56,12,158,5
59,12,165,16
1,13,7,8
14,13,53,34
38,13,110,6
45,13,119,14
0,14,2,6
9,14,36,17
48,14,125,8
52,14,142,35
27,15,88,51
6,16,26,31
35,16,103,4
37,16,107,25
3,17,11,12
22,17,72,12
31,17,97,21
5,18,24,8
13,18,49,10
26,18,87,13
43,18,116,6
46,18,124,10
54,18,155,37
28,19,94,32
47,19,126,19
58,19,163,7
