Ship,Berth,MooringTime,HandlingTime
7,0,31,43
29,1,95,43
51,2,140,44
3,3,11,12
39,3,111,12
44,3,123,44
58,3,167,7
18,4,64,47
56,4,158,5
8,5,33,12
33,5,102,20
47,5,124,19
11,6,40,22
23,6,72,49
53,6,153,35
21,7,68,30
52,7,142,35
12,8,41,19
24,8,81,20
40,8,111,13
46,8,124,10
14,9,53,34
38,9,110,6
6,10,26,31
32,10,100,35
16,11,64,2
15,11,66,6
19,11,72,8
30,11,97,8
41,11,113,4
50,11,138,12
55,11,158,42
35,12,103,4
37,12,107,25
59,12,165,16
0,13,2,6
4,13,14,12
10,13,40,15
13,13,55,10
20,13,68,16
48,13,125,8
57,13,163,8
34,14,102,40
27,15,88,51
42,15,139,36
2,16,10,15
22,16,72,12
36,16,103,8
25,17,85,12
31,17,97,21
1,18,7,8
5,18,24,8
9,18,36,17
17,18,64,5
26,18,87,13
43,18,116,6
45,18,122,14
49,18,136,10
54,18,155,37
28,19,94,32
