Ship,Length,Draft,Arrival Time,Cargo Quantity,Crane Requested,Requested Departure Time,Time Penalty,Energy Penalty,Cost Penalty,Load Penalty,Waiting FCR,Handling FCR
0,120,5,1,214,2,16.0,53.0,18789.61,59250.06,1501605.16,413.73,124.12
1,93,4,2,68,2,12.0,36.0,11069.08,19750.02,1501605.16,240.27,72.08
2,293,11,3,2853,6,126.0,381.0,2345810.0,783417.46,1501605.16,11412.0,3423.6
3,180,8,3,424,2,27.0,80.0,84030.96,118500.12,1501605.16,1724.27,517.28
4,142,3,5,212,2,22.0,55.0,35061.16,59250.06,1501605.16,890.4,267.12
5,106,1,6,276,3,25.0,62.0,39398.95,75708.41,1501605.16,920.0,276.0
6,178,5,8,799,4,43.0,122.0,219295.36,220541.89,1501605.16,3249.27,974.78
7,302,13,12,4339,5,194.0,564.0,6625605.4,1191584.54,1501605.16,21984.27,6595.28
8,168,8,14,1223,2,74.0,182.0,648654.96,335750.34,1501605.16,6359.6,1907.88
9,186,7,16,1193,4,71.0,175.0,99483.7,329167.0,1501605.16,954.4,286.32
10,112,4,17,222,1,39.0,61.0,23540.71,62541.73,1501605.16,458.8,137.64
11,141,4,17,428,1,58.0,97.0,114348.49,118500.12,1501605.16,1740.53,522.16
12,121,5,20,441,1,64.0,101.0,25954.85,121791.79,1501605.16,294.0,88.2
13,107,5,22,311,3,41.0,65.0,57586.21,85583.42,1501605.16,1389.13,416.74
14,183,5,24,592,2,53.0,99.0,32802.6,164583.5,1501605.16,473.6,142.08
15,206,7,25,1525,4,92.0,215.0,432068.7,421333.76,1501605.16,3660.0,1098.0
16,168,8,27,994,2,71.0,147.0,374266.93,273208.61,1501605.16,4638.67,1391.6
17,117,4,29,141,1,44.0,47.0,15699.94,39500.04,1501605.16,338.4,101.52
18,139,4,31,436,2,56.0,82.0,34954.89,121791.79,1501605.16,610.4,183.12
19,120,3,32,263,3,46.0,56.0,27263.48,72416.74,1501605.16,683.8,205.14
20,139,6,36,243,3,50.0,55.0,41158.51,69125.07,1501605.16,1150.2,345.06
21,127,5,39,297,3,61.0,67.0,65874.05,82291.75,1501605.16,1504.8,451.44
22,141,4,43,162,3,52.0,43.0,8590.8,46083.38,1501605.16,108.0,32.4
23,135,2,44,441,1,87.0,100.0,134964.17,121791.79,1501605.16,1999.2,599.76
24,113,3,44,342,3,66.0,71.0,28832.49,95458.43,1501605.16,547.2,164.16
25,209,10,45,1949,5,133.0,271.0,1308746.33,536542.21,1501605.16,8835.47,2650.64
26,172,5,47,982,3,97.0,152.0,196552.72,269916.94,1501605.16,2225.87,667.76
27,182,8,49,417,4,75.0,81.0,72679.65,115208.45,1501605.16,1417.8,425.34
28,140,4,51,206,1,71.0,58.0,43160.26,59250.06,1501605.16,1043.73,313.12
29,215,8,61,1413,3,124.0,201.0,683331.68,388417.06,1501605.16,6217.2,1865.16
30,126,3,64,376,3,89.0,77.0,52493.49,105333.44,1501605.16,1027.73,308.32
31,191,7,65,423,3,89.0,80.0,52264.66,118500.12,1501605.16,1015.2,304.56
32,133,6,67,371,3,85.0,69.0,72126.33,102041.77,1501605.16,1756.07,526.82
33,116,1,67,491,2,91.0,85.0,25129.09,134958.47,1501605.16,392.8,117.84
34,113,5,68,252,1,95.0,68.0,23766.01,69125.07,1501605.16,403.2,120.96
35,180,5,68,1066,2,116.0,157.0,417781.83,292958.63,1501605.16,4832.53,1449.76
36,134,2,73,468,3,102.0,88.0,66988.87,128375.13,1501605.16,1185.6,355.68
37,191,7,76,1027,4,128.0,158.0,399110.26,283083.62,1501605.16,4450.33,1335.1
38,119,4,78,500,2,108.0,92.0,112174.2,138250.14,1501605.16,2000.0,600.0
39,150,6,78,222,4,89.0,50.0,30743.87,62541.73,1501605.16,917.6,275.28
40,148,5,81,374,2,105.0,76.0,49053.34,105333.44,1501605.16,972.4,291.72
41,92,4,83,93,2,96.0,41.0,7941.94,26333.36,1501605.16,80.6,24.18
42,160,8,84,660,2,113.0,104.0,136812.95,181041.85,1501605.16,2332.0,699.6
43,192,8,88,422,2,107.0,75.0,25818.81,118500.12,1501605.16,478.27,143.48
44,137,6,89,470,3,114.0,85.0,33418.7,131666.8,1501605.16,564.0,169.2
45,140,4,92,205,3,107.0,53.0,16183.4,59250.06,1501605.16,328.0,98.4
46,128,5,92,256,1,122.0,72.0,36560.72,72416.74,1501605.16,648.53,194.56
47,104,3,94,393,2,112.0,71.0,64281.29,108625.11,1501605.16,1519.6,455.88
48,128,6,94,151,1,111.0,50.0,14140.92,42791.71,1501605.16,261.73,78.52
49,224,10,94,1783,3,172.0,247.0,1177618.05,490458.83,1501605.16,8796.13,2638.84
50,173,7,94,742,4,131.0,119.0,212045.04,204083.54,1501605.16,3116.4,934.92
51,191,8,98,351,3,117.0,69.0,23488.0,98750.1,1501605.16,444.6,133.38
52,51,2,98,58,2,111.0,38.0,6936.25,16458.35,1501605.16,46.4,13.92
53,189,9,99,729,3,137.0,119.0,210574.79,200791.87,1501605.16,3061.8,918.54
54,125,3,99,181,3,109.0,46.0,21410.62,52666.72,1501605.16,615.4,184.62
55,117,2,100,216,1,121.0,59.0,46048.36,59250.06,1501605.16,1094.4,328.32
56,173,6,103,781,3,138.0,121.0,142693.15,217250.22,1501605.16,2082.67,624.8
57,86,1,108,26,1,116.0,31.0,6260.05,9875.01,1501605.16,27.73,8.32
58,105,3,111,428,2,130.0,75.0,18139.87,118500.12,1501605.16,285.33,85.6
59,140,6,116,123,1,132.0,47.0,22087.37,36208.37,1501605.16,549.4,164.82
60,212,10,116,1221,3,175.0,181.0,406143.76,335750.34,1501605.16,3988.6,1196.58
61,170,8,116,928,4,159.0,141.0,97923.03,256750.26,1501605.16,1175.47,352.64
62,210,8,117,1808,3,198.0,252.0,1324730.72,497042.17,1501605.16,9642.67,2892.8
63,128,4,117,446,1,163.0,104.0,153140.96,125083.46,1501605.16,2170.53,651.16
64,253,14,117,2367,5,222.0,323.0,1222821.28,651750.66,1501605.16,6943.2,2082.96
65,173,4,121,327,3,144.0,71.0,68803.58,92166.76,1501605.16,1504.2,451.26
66,211,9,122,1647,4,198.0,234.0,1003207.12,454250.46,1501605.16,7795.8,2338.74
67,124,3,123,499,2,146.0,85.0,85856.23,138250.14,1501605.16,1729.87,518.96
68,92,3,124,38,2,135.0,35.0,7736.17,13166.68,1501605.16,88.67,26.6
69,128,5,125,100,2,132.0,36.0,14331.84,29625.03,1501605.16,426.67,128.0
70,225,11,126,2247,5,222.0,304.0,1082020.58,618833.96,1501605.16,6591.2,1977.36
71,125,5,126,279,2,142.0,60.0,41601.34,79000.08,1501605.16,1060.2,318.06
72,293,13,128,3105,6,267.0,418.0,2454062.75,852542.53,1501605.16,10764.0,3229.2
73,165,6,130,1167,4,188.0,176.0,145151.16,322583.66,1501605.16,1400.4,420.12
74,186,9,130,575,3,160.0,98.0,40529.9,158000.16,1501605.16,613.33,184.0
75,262,13,130,3108,5,265.0,414.0,2182605.63,852542.53,1501605.16,9738.4,2921.52
76,129,4,133,71,3,141.0,34.0,13047.7,19750.02,1501605.16,364.47,109.34
77,208,7,135,1502,5,199.0,210.0,267124.3,414750.42,1501605.16,2303.07,690.92
78,99,2,135,68,1,150.0,41.0,10690.85,19750.02,1501605.16,181.33,54.4
79,144,6,137,151,1,154.0,50.0,25339.08,42791.71,1501605.16,624.13,187.24
80,120,2,137,193,2,149.0,49.0,12456.81,55958.39,1501605.16,231.6,69.48
81,270,10,138,2366,5,242.0,322.0,1461528.46,651750.66,1501605.16,8359.87,2507.96
82,96,3,138,91,2,150.0,40.0,11075.56,26333.36,1501605.16,212.33,63.7
83,185,6,139,585,2,172.0,102.0,40950.95,161291.83,1501605.16,585.0,175.5
84,169,6,141,694,4,177.0,114.0,42681.88,190916.86,1501605.16,555.2,166.56
85,182,6,143,313,2,163.0,67.0,61354.33,88875.09,1501605.16,1439.8,431.94
86,154,5,146,648,4,175.0,103.0,157587.52,177750.18,1501605.16,2721.6,816.48
87,163,7,149,852,2,190.0,132.0,258399.99,233708.57,1501605.16,3464.8,1039.44
88,180,6,151,950,4,198.0,147.0,141560.89,263333.6,1501605.16,1646.67,494.0
89,109,2,157,148,1,176.0,52.0,32022.42,42791.71,1501605.16,789.33,236.8
90,107,5,157,155,3,166.0,42.0,8893.05,42791.71,1501605.16,124.0,37.2
91,136,3,157,486,2,179.0,83.0,121768.05,134958.47,1501605.16,2592.0,777.6
92,148,3,158,81,3,169.0,38.0,7235.09,23041.69,1501605.16,59.4,17.82
93,185,5,158,1149,3,208.0,166.0,430417.66,316000.32,1501605.16,4749.2,1424.76
94,150,3,161,280,2,181.0,64.0,32095.6,79000.08,1501605.16,690.67,207.2
95,115,1,163,448,1,205.0,100.0,112885.64,125083.46,1501605.16,1672.53,501.76
96,185,5,164,1008,3,213.0,153.0,245953.78,276500.28,1501605.16,2822.4,846.72
97,290,12,164,2757,6,288.0,374.0,2288938.6,757084.1,1501605.16,11211.8,3363.54
98,103,4,165,192,3,180.0,51.0,35519.58,52666.72,1501605.16,985.6,295.68
99,193,9,166,910,2,206.0,136.0,131716.8,250166.92,1501605.16,1698.67,509.6
