Ship,Berth,MooringTime,HandlingTime
7,0,31,43
29,1,95,43
14,2,53,34
45,2,119,14
10,3,40,15
20,3,68,16
39,3,111,12
49,3,128,10
57,3,163,8
12,4,41,19
40,4,111,13
53,4,153,35
3,5,11,12
37,5,106,25
56,5,158,5
11,6,40,22
23,6,72,49
13,7,49,10
21,7,68,30
35,7,103,4
43,7,116,6
18,8,64,47
51,8,140,44
38,9,110,6
44,9,117,44
24,10,81,20
33,10,102,20
58,10,163,7
0,11,2,6
16,11,64,2
19,11,68,8
30,11,97,8
41,11,113,4
50,11,138,12
55,11,158,42
4,12,14,12
8,12,33,12
47,12,124,19
59,12,165,16
2,13,10,15
34,13,102,40
54,13,155,37
17,14,64,5
22,14,72,12
25,14,85,12
32,14,100,35
27,15,88,51
42,15,139,36
6,16,26,31
36,16,103,8
31,17,97,21
48,17,125,8
1,18,7,8
5,18,24,8
9,18,36,17
26,18,87,13
46,18,124,10
52,18,142,35
15,19,63,6
28,19,94,32
