Ship,Berth,MooringTime,HandlingTime
3,0,3,18
21,0,39,9
28,0,51,18
44,0,89,14
56,0,103,22
69,0,125,5
74,0,130,17
19,1,32,8
24,1,44,10
36,1,73,14
43,1,88,18
99,1,166,39
1,2,2,3
11,2,17,36
40,2,81,16
52,2,98,3
59,2,116,11
80,2,137,9
95,2,163,38
2,3,3,60
64,3,117,50
72,3,167,66
97,3,233,58
35,4,68,45
62,4,117,51
70,5,126,38
50,6,94,16
60,6,116,35
92,6,158,3
6,7,8,17
26,7,47,28
73,7,130,25
49,8,94,50
5,9,6,8
10,9,17,19
20,9,36,7
22,9,43,5
32,9,67,11
45,9,92,6
54,9,99,6
65,9,121,10
76,9,133,2
78,9,135,6
90,9,157,5
96,9,164,29
12,10,20,38
34,10,68,22
18,11,31,19
42,11,84,28
83,11,139,25
9,12,16,26
31,12,65,12
39,12,78,5
51,12,98,10
84,12,141,15
57,13,108,3
0,14,1,9
16,14,27,42
47,14,94,17
71,14,126,12
85,14,143,14
94,14,161,12
27,15,49,9
37,15,76,22
61,15,116,20
88,15,151,20
29,16,61,40
66,16,122,35
7,17,12,183
8,18,14,52
41,18,83,4
46,18,92,22
63,18,117,38
89,18,157,13
4,19,5,9
17,19,29,12
23,19,44,38
48,19,94,13
58,19,111,18
82,19,138,4
87,19,149,36
93,20,158,33
15,21,25,33
77,21,135,26
25,22,45,33
86,22,146,14
13,23,22,9
30,23,64,11
38,23,78,21
53,23,99,21
67,23,123,21
98,23,165,6
14,24,24,25
33,24,67,21
55,24,100,19
68,24,124,2
79,24,137,13
91,24,157,21
