Ship,Berth,MooringTime,HandlingTime
19,0,32,8
26,0,47,28
40,0,81,16
54,0,99,6
74,0,130,17
92,0,158,3
96,0,164,29
5,1,6,8
24,1,44,10
31,1,65,12
56,1,103,22
85,1,143,14
99,1,166,39
3,2,3,18
17,2,29,12
23,2,44,38
47,2,94,17
68,2,124,2
82,2,138,4
94,2,161,12
2,3,3,60
64,3,117,50
72,3,167,66
97,3,233,58
21,4,39,9
32,4,67,11
51,4,98,10
62,4,117,51
15,5,25,33
9,6,16,26
36,6,73,14
66,6,122,35
18,7,31,19
42,7,84,28
86,7,146,14
49,8,94,50
4,9,5,9
13,9,22,9
20,9,36,7
22,9,43,5
28,9,51,18
44,9,89,14
65,9,121,10
76,9,133,2
83,9,139,25
16,10,27,42
38,10,78,21
55,10,100,19
11,11,17,36
63,11,117,38
6,12,8,17
27,12,49,9
39,12,78,5
43,12,88,18
61,12,116,20
88,12,151,20
57,13,108,3
10,14,17,19
33,14,67,21
48,14,94,13
58,14,111,18
78,14,135,6
87,14,149,36
37,15,76,22
84,15,141,15
93,15,158,33
29,16,61,40
60,16,116,35
7,17,12,183
1,18,2,3
8,18,14,52
34,18,68,22
46,18,92,22
71,18,126,12
89,18,157,13
0,19,1,9
12,19,20,38
41,19,83,4
52,19,98,3
59,19,116,11
80,19,137,9
91,19,157,21
25,20,45,33
77,20,135,26
50,21,94,16
73,21,130,25
70,22,126,38
14,23,24,25
30,23,64,11
45,23,92,6
53,23,99,21
69,23,125,5
79,23,137,13
90,23,157,5
98,23,165,6
35,24,68,45
67,24,123,21
95,24,163,38
