Ship,Berth,MooringTime,HandlingTime
7,0,31,43
27,1,88,68
17,2,64,5
35,2,103,4
44,2,117,44
4,3,14,12
24,3,81,20
40,3,111,13
49,3,128,10
58,3,163,7
12,4,41,19
43,4,116,6
51,4,140,44
8,5,33,12
22,5,72,12
32,5,100,35
11,6,40,22
23,6,72,49
1,7,7,8
21,7,68,30
56,7,158,5
57,7,163,8
2,8,10,15
18,8,64,47
52,8,142,35
29,9,95,64
6,10,26,31
33,10,102,20
59,10,165,16
0,11,2,6
16,11,64,2
19,11,68,8
30,11,97,8
41,11,113,4
50,11,138,12
55,11,158,42
14,12,53,34
37,12,106,25
13,13,49,10
34,13,102,40
53,13,153,35
10,14,40,15
15,14,63,6
25,14,85,12
38,14,110,6
46,14,124,10
42,15,116,36
20,16,68,16
36,16,103,8
39,16,111,12
48,16,125,8
31,17,97,21
47,17,124,19
5,18,24,8
9,18,36,17
26,18,87,13
45,18,119,14
54,18,155,37
3,19,11,12
28,19,94,32
