Ship,Berth,MooringTime,HandlingTime
7,0,31,43
29,1,95,43
12,2,41,19
44,2,117,44
57,2,163,8
4,3,14,12
15,3,63,6
22,3,72,12
25,3,85,12
43,3,116,6
48,3,125,8
20,4,68,16
51,4,140,44
8,5,33,12
32,5,100,35
11,6,40,22
34,6,102,40
54,6,155,37
3,7,11,12
21,7,68,30
56,7,158,5
10,8,40,15
18,8,64,47
23,9,72,49
6,10,26,31
37,10,106,25
58,10,163,7
0,11,2,6
16,11,64,2
19,11,68,8
30,11,97,8
41,11,113,4
50,11,138,12
55,11,158,42
2,12,10,15
14,12,53,34
33,12,102,20
24,13,81,20
38,13,110,6
45,13,119,14
53,13,153,35
13,14,49,10
17,14,64,5
35,14,103,4
39,14,111,12
46,14,124,10
27,15,88,51
42,15,139,36
36,16,103,8
47,16,124,19
59,16,165,16
31,17,97,21
49,17,128,10
1,18,7,8
5,18,24,8
9,18,36,17
26,18,87,13
40,18,111,13
52,18,142,35
28,19,94,32
