Ship,Berth,MooringTime,HandlingTime
7,0,31,43
47,0,124,19
29,1,95,43
4,2,14,12
11,2,40,22
20,2,68,16
48,2,125,8
56,2,158,5
13,3,49,10
25,3,85,12
34,3,102,40
12,4,41,19
51,4,140,44
32,5,100,35
59,5,165,16
17,6,64,5
23,6,72,49
49,6,128,10
21,7,68,30
39,7,111,12
58,7,163,7
18,8,64,47
40,8,111,13
1,9,7,8
43,9,116,6
44,9,122,44
6,10,26,31
37,10,106,25
16,11,64,2
19,11,68,8
30,11,97,8
41,11,113,4
50,11,138,12
55,11,158,42
14,12,53,34
33,12,102,20
46,12,124,10
2,13,10,15
24,13,81,20
53,13,153,35
0,14,2,6
15,14,63,6
22,14,72,12
38,14,110,6
45,14,119,14
27,15,88,51
42,15,139,36
36,16,103,8
54,16,155,37
3,17,11,12
8,17,33,12
31,17,97,21
5,18,24,8
9,18,36,17
26,18,87,13
35,18,103,4
52,18,142,35
10,19,40,15
28,19,94,32
57,19,163,8
