Ship,Berth,MooringTime,HandlingTime
14,0,24,19
40,0,73,15
53,0,104,14
68,0,143,18
12,1,23,9
79,1,167,42
21,2,28,32
46,2,84,58
0,3,3,19
15,3,24,31
66,3,136,38
38,4,72,17
69,4,147,35
9,5,19,9
23,5,30,18
30,5,48,23
41,5,73,9
61,5,126,11
72,5,151,7
7,6,17,26
36,6,63,4
43,6,78,10
50,6,96,17
63,6,129,15
78,6,167,22
19,7,27,28
47,7,85,28
2,8,7,9
17,8,26,7
26,8,34,10
35,8,61,4
37,8,71,18
77,8,164,25
24,9,30,21
42,9,74,26
55,9,107,15
20,10,27,37
73,10,154,11
25,11,31,40
57,11,116,90
5,12,13,8
18,12,26,8
64,12,129,4
8,13,18,12
33,13,55,28
51,13,96,13
60,13,120,9
74,13,158,11
1,14,5,5
22,14,28,51
45,14,82,7
54,14,105,5
59,14,118,1
76,14,160,7
3,15,9,23
48,15,86,8
70,15,148,45
13,16,24,25
49,16,88,10
65,16,130,39
11,17,23,32
56,17,115,29
71,17,150,30
4,18,11,5
16,18,25,8
28,18,40,9
31,18,50,17
39,18,72,5
44,18,79,11
62,18,127,9
67,18,142,14
75,18,159,31
6,19,16,3
10,19,20,5
27,19,36,5
29,19,42,6
32,19,52,5
34,19,60,8
52,19,100,3
