Ship,Berth,MooringTime,HandlingTime
19,0,32,8
22,0,43,5
33,0,67,21
46,0,92,22
65,0,121,10
89,0,157,13
4,1,5,9
31,1,65,12
51,1,98,10
99,1,166,39
23,2,44,38
42,2,84,28
71,2,126,12
80,2,138,9
2,3,3,60
64,3,117,50
72,3,167,66
97,3,233,58
24,4,44,10
30,4,64,11
44,4,89,14
78,4,135,6
93,4,158,33
29,5,61,40
70,5,126,38
5,6,6,8
47,6,94,17
61,6,116,20
84,6,141,15
94,6,161,12
3,7,3,18
27,7,49,9
48,7,94,13
58,7,111,18
76,7,133,2
86,7,146,14
12,8,20,38
60,8,116,35
90,8,157,5
13,9,22,9
20,9,36,7
54,9,99,6
69,9,125,5
85,9,143,14
92,9,158,3
96,9,164,29
10,10,17,19
43,10,88,18
95,10,163,38
17,11,29,12
35,11,68,45
82,11,138,4
26,12,47,28
37,12,76,22
56,12,103,22
79,12,137,13
98,12,165,6
1,13,2,6
41,13,83,8
52,13,98,5
57,13,108,3
68,13,124,4
16,14,27,42
34,14,69,22
63,14,117,38
21,15,39,9
39,15,78,5
59,15,116,11
74,15,130,17
88,15,151,20
9,16,16,26
49,16,94,50
73,16,144,25
7,17,12,183
18,18,31,19
28,18,51,18
55,18,100,19
91,18,157,21
0,19,1,9
11,19,17,36
40,19,81,16
67,19,123,21
15,20,25,33
32,20,67,11
66,20,122,35
6,21,8,17
53,21,99,21
77,21,135,26
25,22,45,33
50,22,94,16
62,22,117,51
14,23,24,25
36,23,73,14
45,23,92,6
87,23,149,36
8,24,14,52
38,24,78,21
83,24,139,25
