Ship,Berth,MooringTime,HandlingTime
17,0,29,12
22,0,43,5
30,0,64,11
45,0,92,6
59,0,116,11
76,0,133,2
82,0,138,4
85,0,143,14
93,0,158,33
21,1,39,9
31,1,65,12
42,1,84,28
65,1,121,10
83,1,139,25
1,2,2,3
4,2,5,9
10,2,17,19
23,2,44,38
55,2,100,19
69,2,125,5
78,2,135,6
94,2,161,12
2,3,3,60
64,3,117,50
72,3,167,66
97,3,233,58
36,4,73,14
51,4,98,10
62,4,117,51
60,5,116,35
29,6,61,40
66,6,122,35
27,7,49,9
39,7,78,5
44,7,89,14
56,7,103,22
84,7,141,15
61,8,116,20
88,8,151,20
3,9,3,18
19,9,32,8
24,9,44,10
38,9,78,21
54,9,99,6
68,9,124,2
71,9,126,12
92,9,158,3
96,9,164,29
11,10,17,36
87,10,149,36
16,11,27,42
6,12,8,17
26,12,47,28
37,12,76,22
73,12,130,25
52,13,98,5
57,13,108,3
14,14,24,25
34,14,68,22
46,14,92,22
63,14,117,38
89,14,157,13
9,15,16,26
35,15,68,45
86,15,146,14
49,16,94,50
7,17,12,183
8,18,14,52
33,18,67,21
47,18,94,17
67,18,123,21
91,18,157,21
0,19,1,9
18,19,31,19
28,19,51,18
41,19,83,4
48,19,94,13
58,19,111,18
80,19,137,9
95,19,163,38
25,20,45,33
50,20,94,16
15,21,25,33
77,21,135,26
70,22,126,38
5,23,6,8
13,23,22,9
20,23,36,7
32,23,67,11
40,23,81,16
53,23,99,21
74,23,130,17
90,23,157,5
98,23,165,6
12,24,20,38
43,24,88,18
79,24,137,13
99,24,166,39
