Ship,Berth,MooringTime,HandlingTime
5,0,6,8
22,0,43,5
23,0,48,38
46,0,92,22
98,0,165,6
18,1,31,19
31,1,65,12
32,1,77,11
74,1,130,17
83,1,147,25
4,2,5,9
42,2,84,28
67,2,123,21
95,2,163,38
2,3,3,60
64,3,117,50
75,3,167,66
97,3,233,58
3,4,3,18
13,4,22,9
19,4,32,8
24,4,44,10
54,4,99,6
89,4,157,13
90,4,170,5
49,5,94,50
50,6,94,16
60,6,116,35
66,6,151,35
16,7,27,42
65,7,121,10
73,7,131,25
35,8,68,45
88,8,151,20
17,9,29,12
36,9,73,14
45,9,92,6
44,9,98,14
56,9,112,22
76,9,134,2
96,9,164,29
12,10,20,38
38,10,78,21
8,11,14,52
59,11,116,11
6,12,8,17
27,12,49,9
30,12,64,11
39,12,78,5
61,12,116,20
82,12,138,4
86,12,146,14
1,13,2,6
41,13,83,8
52,13,98,5
57,13,108,3
68,13,124,4
14,14,24,25
40,14,81,16
80,14,137,9
85,14,146,14
87,14,160,36
37,15,76,22
53,15,99,21
99,15,166,39
15,16,25,33
55,16,100,19
84,16,141,15
7,17,12,183
10,18,17,19
33,18,67,21
47,18,94,17
58,18,111,18
69,18,129,5
71,18,134,12
79,18,146,13
11,19,17,36
28,19,53,18
34,19,71,22
48,19,94,13
78,19,135,6
94,19,161,12
9,20,16,26
29,20,61,40
62,21,117,51
77,21,168,26
25,22,45,33
51,22,98,10
70,22,126,38
21,23,39,9
20,23,48,7
26,23,55,28
92,23,158,3
93,23,161,33
0,24,1,9
43,24,88,18
63,24,117,38
91,24,157,21
