Ship,Berth,MooringTime,HandlingTime
5,0,6,8
13,0,22,9
20,0,36,7
24,0,44,10
59,0,116,11
95,0,163,38
32,1,67,11
40,1,81,16
54,1,99,6
74,1,130,17
93,1,158,33
17,2,29,12
34,2,68,22
47,2,94,17
68,2,124,2
78,2,135,6
87,2,149,36
2,3,3,60
64,3,117,50
81,3,167,50
97,3,217,58
8,4,14,52
83,4,139,25
42,5,84,28
62,5,117,51
9,6,16,26
29,6,61,40
84,6,141,15
6,7,8,17
26,7,47,28
39,7,78,5
56,7,103,22
86,7,146,14
36,8,73,14
49,8,94,50
88,8,151,20
3,9,3,18
22,9,43,5
44,9,89,14
65,9,121,10
76,9,133,2
80,9,137,9
91,9,157,21
11,10,17,36
43,10,88,18
69,10,125,5
0,11,1,9
14,11,24,25
33,11,67,21
46,11,92,22
23,12,44,38
50,12,94,16
79,12,137,13
94,12,161,12
1,13,2,6
41,13,83,8
52,13,98,5
57,13,108,3
10,14,17,19
28,14,51,18
58,14,111,18
85,14,143,14
19,15,32,8
27,15,49,9
31,15,65,12
61,15,116,20
73,15,136,25
90,15,161,5
15,16,25,33
66,16,122,35
7,17,12,183
16,18,27,42
38,18,78,21
55,18,100,19
4,19,5,9
18,19,31,19
48,19,94,13
67,19,123,21
89,19,157,13
60,20,116,35
92,20,158,3
99,20,166,39
25,21,45,33
51,21,98,10
77,21,135,26
37,22,76,22
70,22,126,38
98,22,165,6
21,23,39,9
30,23,64,11
45,23,92,6
53,23,99,21
71,23,126,12
82,23,138,4
96,23,164,29
12,24,20,38
35,24,68,45
63,24,117,38
