Ship,Berth,MooringTime,HandlingTime
10,0,40,15
39,0,111,12
47,0,124,19
58,0,163,7
27,1,88,68
9,2,36,17
26,2,87,13
40,2,111,13
46,2,124,10
20,3,68,16
25,3,85,12
34,3,102,40
38,4,110,6
45,4,119,14
54,4,155,37
37,5,106,25
52,5,142,35
11,6,40,22
44,6,117,44
12,7,41,19
21,7,68,30
2,8,10,15
18,8,64,47
48,8,125,8
29,9,95,64
4,10,14,12
22,10,72,12
32,10,100,35
0,11,2,6
19,11,68,8
30,11,97,8
41,11,113,4
55,11,158,42
3,12,11,12
8,12,33,12
17,12,64,5
24,12,81,20
59,12,165,16
14,13,53,34
53,13,153,35
15,14,63,6
23,14,72,49
36,15,103,8
42,15,116,36
7,16,31,43
33,16,102,20
31,17,97,21
51,17,140,44
1,18,7,8
5,18,24,8
13,18,49,10
16,18,64,2
35,18,103,4
43,18,116,6
49,18,128,10
50,18,138,12
56,18,158,5
57,18,163,8
6,19,26,31
28,19,94,32
