Ship,Berth,MooringTime,HandlingTime
3,0,11,12
36,0,103,8
39,0,111,12
47,0,124,19
42,1,116,59
44,2,117,44
1,3,7,8
10,3,40,15
24,3,81,20
35,3,103,4
38,3,110,6
49,3,128,10
57,3,163,8
2,4,10,15
48,4,125,8
54,4,155,37
8,5,33,12
15,5,63,6
37,5,106,25
58,5,163,7
18,6,64,47
43,6,116,6
6,7,26,31
21,7,68,30
11,8,40,22
45,8,119,14
51,8,140,44
29,9,95,64
23,10,72,49
56,10,158,5
59,10,165,16
0,11,2,6
16,11,64,2
19,11,68,8
30,11,97,8
41,11,113,4
50,11,138,12
55,11,158,42
13,12,49,10
33,12,102,20
53,12,153,35
4,13,14,12
14,13,53,34
34,13,102,40
22,14,72,12
32,14,100,35
27,15,88,51
7,16,31,43
25,16,85,12
12,17,41,19
31,17,97,21
5,18,24,8
9,18,36,17
17,18,64,5
26,18,87,13
40,18,111,13
46,18,124,10
52,18,142,35
20,19,68,16
28,19,94,32
