Ship,Berth,MooringTime,HandlingTime
37,0,106,25
59,0,165,16
29,1,95,43
10,2,40,15
20,2,68,16
44,2,117,44
3,3,11,12
19,3,68,8
39,3,111,12
54,3,155,37
2,4,10,15
17,4,64,5
24,4,81,20
49,4,128,10
4,5,14,12
35,5,103,4
43,5,116,6
48,5,125,8
58,5,163,7
11,6,40,22
18,6,64,47
12,7,41,19
21,7,68,30
38,8,110,6
51,8,140,44
23,9,72,49
6,10,26,31
16,10,64,2
36,10,103,8
47,10,124,19
57,10,163,8
0,11,2,6
15,11,63,6
30,11,97,8
41,11,113,4
50,11,138,12
55,11,158,42
8,12,33,12
22,12,72,12
25,12,85,12
33,12,102,20
56,12,158,5
1,13,7,8
14,13,53,34
34,13,102,40
53,13,153,35
13,14,49,10
32,14,100,35
27,15,88,51
42,15,139,36
7,16,31,43
31,17,97,21
45,17,119,14
5,18,24,8
9,18,36,17
26,18,87,13
40,18,111,13
46,18,124,10
52,18,142,35
28,19,94,32
